案例名称,描述,前置条件,步骤描述,预期结果,优先级
"激活插件 - VS Code 启动后自动激活","验证插件在 VS Code 启动完成后自动激活","VS Code 已安装 testcase-viewer 插件","1. 完全关闭 VS Code
2. 重新启动 VS Code
3. 打开命令面板(Cmd+Shift+P)
4. 输入 ""testcaseViewer"" 查看可用命令","【业务功能检查】
- testcaseViewer.viewOnline、testcaseViewer.pushTestCaseFromExplorer 命令已注册
- 命令面板中可搜索到上述命令
- 插件状态显示为已激活",高
"自定义编辑器注册 - CSV 文件","验证双击合规 CSV 文件时使用表格编辑器打开","1. 工作区目录按约定组织：C001_测试/测试任务/TT001_测试任务1/测试案例/
2. testcase.csv 存在于该目录下","1. 在资源管理器中找到 testcase.csv
2. 双击文件","【业务功能检查】
- 文件以自定义编辑器（表格形式）打开，而非纯文本编辑器
- 编辑器标题栏显示文件名
- 表格表头为 CSV 首行字段名
- 数据行正确渲染为表格行",高
"自定义编辑器注册 - YAML 文件","验证双击合规 YAML 文件时使用表格编辑器打开","1. 工作区目录按约定组织
2. testcase.yaml 存在且包含案例记录","1. 在资源管理器中找到 testcase.yaml
2. 双击文件","【业务功能检查】
- 文件以表格编辑器打开
- 顶层标量字段作为表头列
- 嵌套对象字段显示为对应的统计文本（如 ""[2 项]""），可点击进入明细编辑
- 非标量字段默认显示为空",高
"自定义编辑器注册 - JSON 文件","验证双击合规 JSON 文件时使用表格编辑器打开","1. 工作区目录按约定组织
2. testcase.json 存在且包含案例记录","1. 双击 testcase.json 文件","【业务功能检查】
- 文件以表格编辑器打开
- JSON 对象数组正确解析为表格行
- 嵌套字段识别为明细子表",高
"自定义编辑器 - 非合规目录文件以文本方式打开","验证不在约定目录下的文件使用普通文本编辑器打开","1. 工作区内存在非约定路径下的 CSV 文件（例：/data/test.csv）
2. 插件已激活","1. 双击 /data/test.csv 文件","【业务功能检查】
- 文件以 VS Code 默认文本编辑器打开
- 不会进入自定义表格编辑器
- 无错误弹窗",中
"目录校验 - 必含测试任务/XX_XX/测试案例结构","验证路径合规校验对各层级目录的检查","1. 工作区根目录下存在多个子目录","1. 分别在以下路径放置 CSV 文件并尝试以自定义编辑器打开：
   a. /测试任务/TT001_测试A/测试案例/file.csv（正确）
   b. /测试任务/TT001/测试案例/file.csv（缺少子任务名）
   c. /测试任务/TT001_测试A/案例/file.csv（目录名不对）
   d. /根目录/file.csv（无约定目录）","【业务功能检查】
- a 文件以表格编辑器打开
- b、c、d 文件均以文本编辑器打开
- 无异常崩溃",中
"CSV 解析 - 逗号分隔","验证 CSV 文件使用逗号分隔符的正确解析","1. 准备逗号分隔的 CSV 文件：
   名称,描述,优先级
   case1,这个是测试案例,高
   case2,另一个案例,中","1. 将上述内容保存为 test.csv 并放入合规目录
2. 双击打开","【业务功能检查】
- 表头显示：名称、描述、优先级
- 数据行 1：名称=case1，描述=这个是测试案例，优先级=高
- 数据行 2：名称=case2，描述=另一个案例，优先级=中
- 共 2 行数据",高
"CSV 解析 - 分号分隔","验证 CSV 文件使用分号分隔符的正确解析","1. 准备分号分隔的 CSV 文件：
   名称;描述;优先级
   case1;测试案例;高","1. 将上述内容保存为 test.csv 并放入合规目录
2. 双击打开","【业务功能检查】
- 表头正确识别为：名称、描述、优先级
- 数据行：名称=case1，描述=测试案例，优先级=高",中
"CSV 解析 - Tab 分隔","验证 CSV 文件使用 Tab 分隔符的正确解析","1. 准备 Tab 分隔的 CSV 文件","1. 保存并打开","【业务功能检查】
- 表头和数据均正确解析
- 字段值无多余空格或截断",低
"CSV 解析 - 管道分隔","验证 CSV 文件使用管道符|分隔的正确解析","1. 准备管道分隔的 CSV 文件：
   名称|描述|优先级
   case1|测试|高","1. 保存并打开","【业务功能检查】
- 正确识别管道符为分隔符
- 数据按预期解析",低
"CSV 解析 - 带双引号的字段","验证 CSV 中双引号包裹字段的正确处理","1. 准备 CSV 文件包含双引号字段：
   名称,描述,优先级
   ""case,with,comma"","""嵌套引号""内容",高","1. 保存并打开","【业务功能检查】
- 名称字段值为：case,with,comma（引号被正确去除，内部逗号不分割）
- 描述字段值为：""嵌套引号""内容（内层双引号保留）
- 优先级字段值为：高",中
"CSV 保存 - 数据修改后落盘","验证表格中修改数据后保存能正确写回 CSV 文件","1. CSV 文件已打开在表格编辑器中
2. 文件内容已知","1. 在表格中修改某单元格数据
2. 按 Ctrl+S / Cmd+S 保存
3. 用文本方式打开文件查看内容","【业务功能检查】
- 修改后的数据正确写入文件
- 分隔符与原文件一致
- 文件编码保持 UTF-8
- 引用缩进和换行符合 CSV 规范",高
"YAML 解析 - 顶层数组","验证 YAML 顶层为对象数组的正确解析","1. 准备 YAML 文件内容：
   - name: case1
     priority: 高
     steps:
       - action: 点击
         expected: 成功
   - name: case2
     priority: 中","1. 保存为 testcase.yaml 并放入合规目录
2. 双击打开","【业务功能检查】
- 主表表头显示 name、priority（标量字段）
- steps 字段显示为明细标记（如 ""[1 项]""）
- 共 2 行数据，每行 name 字段正确
- 点击 steps 可打开明细弹窗查看子表",高
"YAML 解析 - 对象内数组属性","验证 YAML 中对象内某属性为数组的解析","1. 准备 YAML 文件：
   testcases:
     - name: case1
       source:
         - id: src1
         - id: src2","1. 保存并打开","【业务功能检查】
- testcases 下的数组正确识别为记录列表
- name 在主表显示
- source 显示为 ""[2 项]""，可点击进入明细
- 明细表有 id 列，含 2 行数据",中
"YAML 解析 - 单个对象自动包装","验证 YAML 中单个对象自动包装为数组","1. 准备 YAML 内容为单个对象（非数组）：
   name: case1
   priority: 高","1. 保存并打开","【业务功能检查】
- 单个对象自动包装为单行表格
- 行数据显示 name=case1，priority=高
- 渲染正常无报错",中
"YAML 解析 - 嵌套对象作为明细","验证 YAML 中嵌套对象字段自动转为明细子表","1. 准备 YAML 包含嵌套对象字段：
   - name: case1
     metadata:
       author: 张三
       date: 2024-01-01","1. 保存并打开","【业务功能检查】
- 主表表头显示 name（标量字段）
- metadata 字段不在主表表头
- metadata 显示为明细标记，点击可查看 author/date 两列
- 明细表有一行数据",中
"YAML 保存 - 嵌套结构还原","验证编辑后保存 YAML 文件，嵌套结构正确还原","1. YAML 文件已打开（包含 steps 明细子表）
2. steps 明细中有多行数据","1. 在明细弹窗中修改某步骤描述字段
2. 关闭弹窗
3. Ctrl+S 保存
4. 用文本编辑器查看文件","【业务功能检查】
- steps 字段在保存后仍为数组格式
- 修改的数据正确写入对应位置
- YAML 缩进层级正确
- 布尔值、数字类型保持原类型（不被转为字符串）",高
"YAML 保存 - 新增行后结构还原","验证新增数据行后保存，YAML 结构正确","1. YAML 文件已打开","1. 右键表格 → 在上方插入行 / 在下方插入行
2. 填写新行的数据
3. Ctrl+S 保存
4. 文本方式查看文件","【业务功能检查】
- 新行正确追加到 YAML 数组中
- 新行格式与已有行一致
- 包含正确的缩进
- 生成唯一 tsId",中
"JSON 解析 - 对象数组","验证 JSON 顶层对象数组的正确解析","1. 准备 JSON 文件：
   [{"name":"case1","priority":"高"},{"name":"case2","priority":"中"}]","1. 保存为 JSON 并放入合规目录
2. 双击打开","【业务功能检查】
- 表头显示 name、priority
- 共 2 行数据
- case1 优先级=高，case2 优先级=中",高
"JSON 保存 - 路径展开还原","验证 JSON 使用路径展开模式保存后结构正确","1. JSON 文件已打开（无明细子表，使用路径展开模式）","1. 修改某单元格
2. Ctrl+S 保存
3. 文本方式查看文件","【业务功能检查】
- JSON 格式正确（可被 JSON.parse 解析）
- 修改的字段正确更新
- 嵌套路径如 a.b.c 被还原为嵌套对象
- 不产生多余的顶层键",中
"tsId 自动补全 - 打开文件时生成","验证打开无 tsId 列的文件时自动补充 UUID","1. 准备一个不含 tsId 列的 CSV 文件","1. 双击打开文件
2. 检查表头是否出现 tsId 列","【业务功能检查】
- 表头末尾自动追加 tsId 列
- 每行都有一个非空的 UUID v4 字符串
- tsId 不可编辑（只读）",高
"tsId 立即落盘","验证 tsId 生成后立即写入文件","1. 准备不含 tsId 的 CSV 文件
2. 文件在编辑器中打开","1. 打开文件（tsId 已自动生成）
2. 立即用文本编辑器查看同一文件","【业务功能检查】
- 文件中已包含 tsId 列
- 每行的 tsId 与表格中显示一致
- 无重复 tsId",中
"tsId 全局唯一性","验证多个文件间的 tsId 互不冲突","1. 准备 3 个独立的 CSV 文件","1. 依次打开 3 个文件
2. 收集所有行的 tsId
3. 使用去重工具检测重复","【业务功能检查】
- 所有 tsId 值均唯一
- 无跨文件冲突",低
"推送案例 - 编辑器内推送（CSV）","验证在表格编辑器中推送 CSV 数据到后端","1. CSV 文件位于合规目录
2. 已配置后端 API 地址和 Token
3. Mock 服务器或后端已启动","1. 在编辑器中打开 CSV 文件
2. 点击工具栏「推送」按钮
3. 观察推送结果","【业务功能检查】
- 推送请求发送到 /test-task/push-testcase
- 请求体包含：testTaskNo、subTestTaskName、artifactId（文件名）、data（行数据）
- 返回成功后显示推送结果弹窗
- 成功行显示绿色标记，失败行显示原因",高
"推送案例 - 编辑器内推送（YAML 含嵌套字段）","验证嵌套字段在推送时保留原始结构化数据","1. YAML 文件含 source 字段（为对象数组）
2. source 在表格中显示为 ""[2 项]""
3. 后端已启动","1. 打开 YAML 文件
2. 点击明细弹窗（不修改 source 数据）
3. 关闭弹窗后点击推送","【业务功能检查】
- 推送的 data 中 source 字段为原始对象数组 [{...}, {...}]
- 不会推送显示文本 ""[2 项]""
- 后端能正确解析嵌套数据
- 日志输出 ""已用文件源数据替换 X 行""",高
"推送案例 - 右键文件推送","验证通过资源管理器右键菜单推送","1. 文件位于合规目录
2. 后端已启动","1. 在资源管理器中右键点击 CSV/YAML/JSON 文件
2. 点击「推送测试案例」","【业务功能检查】
- 文件被解析后推送
- 推送成功后弹出结果通知
- 成功时自动回写 testCaseNo 到文件
- 失败时弹窗展示失败明细（含行号）",高
"推送案例 - testCaseNo 回写","验证推送成功后 testCaseNo 正确写入原文件","1. 文件已成功推送到后端并获得 testCaseNo
2. 成功映射中有多行 tsId->testCaseNo 对应关系","1. 推送完成后等待回写完成
2. 用文本编辑器查看原文件
3. 检查是否有 testCaseNo 字段","【业务功能检查】
- 文件中每行出现 testCaseNo 字段
- testCaseNo 值与后端返回一致
- 回写后编辑器自动刷新显示新数据",高
"推送案例 - 全部失败不修改文件","验证全部推送失败时不修改原文件","1. Mock 服务器配置为全部返回 type=2 失败","1. 推送文件
2. 等待弹窗
3. 检查原文件","【业务功能检查】
- 弹出失败弹窗展示所有失败项
- 原文件未被修改
- 文件中无多余字段",中
"推送案例 - 部分成功部分失败","验证混合结果的正确处理","1. Mock 服务器配置 2 条成功 1 条失败","1. 推送含 3 行数据的文件
2. 查看推送结果弹窗","【业务功能检查】
- 弹窗显示 2 成功 1 失败
- 失败行有正确的行号标记
- 成功行的 testCaseNo 写入文件
- 失败行在文件中不生成 testCaseNo",中
"推送案例 - 网络错误处理","验证后端不可达时的错误提示","1. 后端服务器未启动或地址错误","1. 点击推送","【业务功能检查】
- 显示友好的错误提示
- ECONNREFUSED 翻译为中文提示
- 不崩溃、不卡死",中
"推送案例 - artifactId 传递文件名","验证推送请求中 artifactId 为正确的文件名","1. 文件名为 testcases.csv
2. 后端已启动","1. 推送文件
2. 抓包或查看后端日志确认请求体","【业务功能检查】
- 请求 body 中 artifactId 字段值为 ""testcases.csv""
- 推送深层次文件时 artifactId 仅为文件名，不含路径",中
"推送结果 - 全部成功仅 Toast","验证全部推送成功时只显示通知","1. Mock 服务器配置全部返回 type=1 成功","1. 推送文件","【业务功能检查】
- 右下角弹出成功通知 Toast
- 不弹出模态对话框
- 编辑器自动刷新
- 通知消息含成功数量",中
"推送结果 - 失败明细弹窗","验证失败推送的明细展示","1. Mock 服务器返回多条失败结果","1. 推送文件","【业务功能检查】
- 弹出模态对话框展示失败明细
- 每项含 tsId、失败原因
- 支持复制失败明细按钮",中
"右键菜单 - 仅合规文件显示推送菜单","验证非合规文件不显示推送右键菜单","1. 工作区内存在合规目录文件和非合规目录文件","1. 右键非合规目录下的 CSV 文件
2. 右键合规目录下的 CSV 文件","【业务功能检查】
- 非合规文件右键菜单中无「推送测试案例」选项
- 合规文件右键菜单中有「推送测试案例」选项",中
"在线案例查询 - 打开面板","验证从编辑器标题栏打开在线案例查询面板","1. 合规文件已在编辑器中打开
2. 后端已启动","1. 点击编辑器标题栏的「查看测试案例」图标","【业务功能检查】
- 打开新的 Webview 面板
- 面板顶部显示 testTaskNo 和 subTestTaskName
- 自动加载查询结果",高
"在线案例查询 - 自动提取查询参数","验证从文件路径和内容自动提取参数","1. 文件路径：/C001_测试/测试任务/TT001_测试任务1/测试案例/testcase.yaml
2. 文件中有 testPhaseName 字段","1. 点击「查看测试案例」图标
2. 查看面板顶部参数","【业务功能检查】
- testTaskNo = ""TT001""
- subTestTaskName = ""测试任务1""
- testPhaseName 从文件内容提取",高
"在线案例查询 - 分页加载","验证查询结果分页展示及加载更多","1. 后端有大量测试案例数据（>15 条）","1. 打开查询面板
2. 滚动到底部","【业务功能检查】
- 初始加载 15 条
- 「加载更多」按钮可见
- 点击后追加 15 条
- 数据无重复",高
"在线案例查询 - 过滤器","验证按 testCaseNo / testCaseName 等字段过滤","1. 查询面板已加载数据","1. 在过滤栏输入 testCaseNo 关键字
2. 输入 testCaseName 关键字
3. 选择优先级过滤","【业务功能检查】
- 结果实时过滤，只显示匹配项
- 过滤条件可组合使用
- 清空过滤后恢复全部数据",中
"表格浏览器 - 打开面板","验证从命令面板打开表格浏览器","1. 工作区中有合规目录和 CSV 文件","1. 命令面板输入 ""tableBrowser.open""
2. 执行","【业务功能检查】
- 打开新面板，左侧显示文件树
- 文件树只展示合规目录下的 CSV 文件
- 目录树可展开/折叠
- 不显示 YAML/JSON 文件",中
"表格浏览器 - 读取 CSV 内容","验证点击文件树节点后显示 CSV 内容","1. 表格浏览器面板已打开
2. 文件树中有 CSV 文件","1. 点击文件树中的 CSV 文件名","【业务功能检查】
- 右侧显示表格
- 表头和数据正确
- 每行有勾选框用于选择",中
"表格浏览器 - 批量选择发送","验证勾选多行后发送到后端","1. 表格浏览器已加载 CSV 内容
2. 后端已启动","1. 勾选多条数据（含全选）
2. 点击「发送选中数据」","【业务功能检查】
- 发送到 /test-task/batch-import 接口
- 请求体含勾选的完整行数据
- 发送成功后有提示",中
"表格编辑器 - 搜索过滤","验证顶部搜索框的实时过滤功能","1. 表格编辑器中已加载多行数据","1. 在顶部搜索框输入关键字
2. 观察表格变化
3. 更新关键字","【业务功能检查】
- 输入后 150ms 内表格自动过滤，只显示匹配行
- 大小写不敏感
- 匹配任意列
- 按 Enter 立即搜索（不等防抖）
- 按 Escape 清空搜索并恢复全部数据
- 点击 ✕ 按钮清空搜索",高
"表格编辑器 - 无匹配结果提示","验证搜索无匹配时的提示","1. 表格编辑器中已加载数据","1. 输入不可能匹配的字符串（如 zzzzzzzzzzzz）","【业务功能检查】
- 表格显示空状态提示（如 ""无匹配结果""）
- 不会显示空白表格
- 清空搜索后恢复",中
"表格编辑器 - 查找替换","验证 Ctrl+F 查找及替换功能","1. 表格编辑器中已加载数据","1. 按 Ctrl+F 打开查找面板
2. 输入查找关键字
3. 按 Enter 查找下一个
4. 切换到替换模式输入替换文本
5. 执行替换","【业务功能检查】
- 查找面板正确显示
- 匹配单元格高亮
- 替换后数据正确更新
- 查找/替换支持全部替换
- 关闭面板后恢复正常",中
"表格编辑器 - 撤销与重做","验证 Ctrl+Z 撤销和 Ctrl+Y/Ctrl+Shift+Z 重做","1. 表格编辑器已加载数据
2. 进行了多次单元格编辑","1. 修改若干单元格
2. 按 Ctrl+Z 若干次
3. 按 Ctrl+Y 若干次","【业务功能检查】
- 撤销可回退到操作前的数据
- 重做可恢复到撤销前的数据
- 撤销栈最多 100 步
- 撤销/重做后修改计数正确更新",高
"表格编辑器 - 明细弹窗编辑","验证点击嵌套字段的 ""[N 项]"" 标记后编辑明细","1. 打开含明细字段的 YAML/JSON 文件
2. steps 字段显示为 ""[2 项]""","1. 点击显示 ""[2 项]"" 的单元格
2. 在弹窗中修改某步骤字段
3. 新增一行步骤
4. 删除一行步骤
5. 点击确认关闭弹窗","【业务功能检查】
- 弹窗标题显示字段中文名（如 ""步骤明细""）
- 弹窗内为可编辑表格
- 修改后主表中该字段的计数自动更新
- 保存后文件结构调整正确
- 新增/删除行后子表行数正确",高
"表格编辑器 - 行操作（插入）","验证右键菜单插入行功能","1. 表格编辑器已加载数据","1. 右键某行
2. 点击「在上方插入行」
3. 再次右键 →「在下方插入行」","【业务功能检查】
- 上方插入新空行在目标行上方
- 下方插入新空行在目标行下方
- 新行自动生成 tsId
- 表头滚动位置保持稳定
- 新行可立即编辑",中
"表格编辑器 - 行操作（删除）","验证删除行功能","1. 表格编辑器中有多行数据","1. 选中某行
2. 右键 → 删除行
3. 确认操作","【业务功能检查】
- 目标行被移除
- 其他行序号自动调整
- 修改计数增加
- 可撤销恢复",中
"表格编辑器 - 列操作","验证列插入和删除","1. 表格编辑器已加载数据","1. 右键表头 → 插入列
2. 输入新列名
3. 右键某列 → 删除列","【业务功能检查】
- 新列在指定位置插入
- 所有行该列为空
- 删除后该列消失
- 可撤销",低
"表格编辑器 - 单元格编辑","验证直接点击单元格后编辑内容","1. 表格编辑器已加载","1. 双击某单元格
2. 修改内容
3. 按 Enter 或点击其他单元格确认","【业务功能检查】
- 进入编辑状态后单元格高亮
- 修改的内容实时反映
- 修改计数增加（首次修改时）
- 按 Escape 取消编辑",高
"表格编辑器 - Tab 键导航","验证 Tab / Shift+Tab 在单元格间跳转","1. 某单元格处于编辑状态","1. 按 Tab 键
2. 按 Shift+Tab","【业务功能检查】
- Tab 跳转到右侧下一列
- 在当前行末尾按 Tab 跳转到下一行第一列
- Shift+Tab 反向跳转
- 跳转后自动进入编辑状态",中
"表格编辑器 - 排序功能","验证列排序","1. 表格编辑器已加载数据","1. 点击某列表头排序图标
2. 切换升序/降序/默认","【业务功能检查】
- 升序排列正确
- 降序排列正确
- 再次点击恢复原始顺序
- 排序不影响原始数据（只是显示顺序）",中
"表格编辑器 - 修改计数展示","验证工具栏修改计数正确显示","1. 表格编辑器已打开
2. 文件已保存（修改计数=0）","1. 修改任意单元格
2. 观察工具栏修改计数
3. 按 Ctrl+S 保存","【业务功能检查】
- 首次修改后计数从 0 → 1
- 多次修改累积计数
- 保存后计数归零
- 撤销到保存点时计数归零",中
"表格编辑器 - Ctrl+S 保存","验证快捷键保存功能","1. 表格已修改","1. 按 Ctrl+S（Mac: Cmd+S）","【业务功能检查】
- 修改内容写入文件
- 修改计数归零
- 保存成功的 Toast 提示
- 文件内容与表格一致",高
"表格编辑器 - 切换到文本编辑器","验证从自定义编辑器切换为文本视图","1. 文件在表格编辑器中打开","1. 点击工具栏「打开 Text Editor」按钮
2. 或在命令面板执行 testcaseViewer.openWithText","【业务功能检查】
- 在同一标签组打开文本编辑器
- 文件内容为原始文本格式
- 原表格编辑器标签保留",中
"Parser 工厂 - 文件类型自动检测","验证根据扩展名自动选择合适的解析器","1. 分别准备 .csv .yaml .yml .json 文件
2. 均位于合规目录","1. 依次打开每种文件类型
2. 观察表格渲染结果","【业务功能检查】
- .csv 使用 CSV 解析器
- .yaml / .yml 使用 YAML 解析器
- .json 使用 JSON 解析器
- 每种文件类型均正确渲染",高
"HTTP 客户端 - SM2 签名","验证请求自动附带 SM2 时间戳签名","1. 已配置 SM2 公钥
2. 后端已启动","1. 执行任意推送/查询操作
2. 查看请求头","【业务功能检查】
- 请求头含 X-Timestamp
- 请求头含 X-Signature（SM2 签名）
- 签名内容为时间戳",中
"HTTP 客户端 - 错误码翻译","验证常见网络错误的中文提示","1. 后端地址不可达","1. 触发 API 调用","【业务功能检查】
- ECONNREFUSED → ""连接被拒绝""
- ETIMEDOUT → ""请求超时""
- ENOTFOUND → ""找不到服务器""
- ECONNRESET → ""连接被重置""
- 不暴露原始英文错误堆栈",中
"HTTP 客户端 - 日志脱敏","验证 Authorization 和签名信息在日志中不泄露","1. 启用日志输出","1. 执行 API 调用
2. 查看输出日志","【业务功能检查】
- Authorization 头显示为 ******
- X-Signature 头显示为 ******
- 日志不包含 Token 明文和签名内容",低
"存储 - 配置保存","验证 app-config.json 配置持久化","1. 首次使用插件，无配置文件","1. 通过 VS Code 设置配置 apiUrl
2. 通过 UI 或设置配置 authToken
3. 检查 ~/app-config.json","【业务功能检查】
- apiUrl 正确写入配置文件
- authToken 正确写入
- 下次启动时自动读取",中
"Tab 切换 - 状态保留","验证多个 Tab 间切换不丢失编辑状态","1. 同时打开 3 个文件（Tab A、B、C）","1. 在 Tab A 修改数据
2. 切换到 Tab B
3. 切换到 Tab C
4. 切换回 Tab A","【业务功能检查】
- Tab A 数据保持修改后状态
- 修改计数保留
- 不重新加载导致数据丢失
- retainContextWhenHidden 生效",高
"File Tree Service - 递归扫描","验证文件树递归扫描所有子目录","1. 合规目录下存在嵌套子目录：
   测试案例/ModuleA/test1.csv
   测试案例/ModuleA/SubA/test2.csv
   测试案例/ModuleB/test3.csv","1. 打开表格浏览器
2. 展开文件树所有节点","【业务功能检查】
- ModuleA、ModuleA/SubA、ModuleB 均有展示
- 所有 CSV 文件在对应目录节点下
- 嵌套深度无限制",中
"Mock 服务器 - 任务树接口","验证 mock-server 的任务树接口","1. mock-server.js 已运行在 localhost:8081","1. 配置 apiUrl 为 http://localhost:8081
2. 打开查询面板","【业务功能检查】
- 任务树正确加载
- 层级结构完整
- 节点可展开",低
